Altium Designer Pick and Place Locations
E:\OneDrive\EAGLE\projects\Sep-Nov_21\LIME_SDR_USB(update)\plug\1v4\Project Outputs for LimeSDR-USB_1v4\Pick Place for LimeSDR-USB_1v4.csv

========================================================================================================================
File Design Information:

Date:       11/11/21
Time:       00:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C67","1uF, 20%","BottomLayer","CAP0201","3077.233","797.063","270",""
"C68","1uF, 20%","BottomLayer","CAP0201","2994.095","845.472","270",""
"FR6","600R, 0.27A","BottomLayer","RES0201","3059.860","830.260","180",""
"FR7","600R, 0.27A","BottomLayer","RES0201","3025.156","819.078","90",""
"FR18","600R, 0.27A","BottomLayer","RES0201","3158.465","1172.244","180",""
"FR25","600R, 0.27A","BottomLayer","RES0201","2901.575","1637.795","180",""
"R22","0R","BottomLayer","RES0402","2687.008","1105.315","180",""
"R24","0R","BottomLayer","RES0402","2558.071","1063.976","270",""
"R26","0R","BottomLayer","RES0402","2626.969","1365.158","180",""
"R28","0R","BottomLayer","RES0402","2526.575","1278.543","180",""
"IC24","Si5351C","BottomLayer","Si5351C_20QFN","1030.511","1750.000","270","Si5351C"
"FR20","600R, 0.27A","BottomLayer","RES0201","3183.031","980.562","90",""
"C78","1uF, 20%","BottomLayer","CAP0201","2934.302","886.851","270",""
"FR3","600R, 0.27A","BottomLayer","RES0201","3019.686","862.992","270",""
"FR13","600R, 0.27A","BottomLayer","RES0201","2970.196","876.063","270",""
"R31","0R","BottomLayer","RES0201","2895.906","900.540","270",""
"C64","1uF, 20%","BottomLayer","CAP0201","3115.157","958.414","270",""
"C66","1uF, 20%","BottomLayer","CAP0201","3052.903","796.219","270",""
"C75","1uF, 20%","BottomLayer","CAP0201","3005.945","940.698","270",""
"C87","1uF, 20%","BottomLayer","CAP0201","3219.331","928.690","270",""
"FR1","600R, 0.27A","BottomLayer","RES0201","3145.709","958.414","270",""
"FR11","600R, 0.27A","BottomLayer","RES0201","3036.457","940.698","270",""
"C55","1nF, 10%","BottomLayer","CAP0201","2778.543","1023.819","90",""
"C60","1uF, 20%","BottomLayer","CAP0201","2709.646","1057.874","270",""
"C61","1nF, 10%","BottomLayer","CAP0201","2751.024","1057.823","270",""
"C62","1uF, 20%","BottomLayer","CAP0201","2881.930","967.272","270",""
"C63","1uF, 20%","BottomLayer","CAP0201","2885.867","930.855","180",""
"FR2","600R, 0.27A","BottomLayer","RES0201","2850.434","966.288","90",""
"C70","1uF, 20%","BottomLayer","CAP0201","3236.063","1006.642","270",""
"FR8","600R, 0.27A","BottomLayer","RES0201","3050.237","984.005","0",""
"FR12","600R, 0.27A","BottomLayer","RES0201","3270.906","1017.666","0",""
"R32","0R","BottomLayer","RES0201","3126.181","1016.733","0",""
"R39","10R","BottomLayer","RES0201","3230.502","969.643","0",""
"C73","1uF, 20%","BottomLayer","CAP0201","3023.375","1047.205","90",""
"C76","1uF, 20%","BottomLayer","CAP0201","2979.409","1065.894","90",""
"C79","1uF, 20%","BottomLayer","CAP0201","2946.182","1058.690","225",""
"C80","1uF, 20%","BottomLayer","CAP0201","3048.964","1054.175","270",""
"FR14","600R, 0.27A","BottomLayer","RES0201","3075.825","1026.046","90",""
"C72","1uF, 20%","BottomLayer","CAP0201","3327.796","1068.650","0",""
"C74","1uF, 20%","BottomLayer","CAP0201","3389.517","1023.582","270",""
"C83","1uF, 20%","BottomLayer","CAP0201","3187.048","1024.973","315",""
"FR10","600R, 0.27A","BottomLayer","RES0201","3327.953","1040.354","180",""
"R33","10R","BottomLayer","RES0201","3357.143","1023.017","270",""
"R34","0R","BottomLayer","RES0201","3113.976","1063.729","180",""
"C77","1uF, 20%","BottomLayer","CAP0201","3267.717","1098.622","90",""
"C84","1uF, 20%","BottomLayer","CAP0201","3228.387","1105.068","0",""
"FR21","600R, 0.27A","BottomLayer","RES0201","3243.070","1134.106","180",""
"R36","0R","BottomLayer","RES0201","3228.387","1070.619","0",""
"R37","0R","BottomLayer","RES0201","3182.953","1095.225","225",""
"C71","1uF, 20%","BottomLayer","CAP0201","3274.647","1166.091","0",""
"C81","1uF, 20%","BottomLayer","CAP0201","3114.213","1098.178","180",""
"C94","1uF, 20%","BottomLayer","CAP0201","3146.704","1123.072","180",""
"FR9","600R, 0.27A","BottomLayer","RES0201","3273.859","1206.642","270",""
"FR16","600R, 0.27A","BottomLayer","RES0201","3158.662","1201.772","180",""
"FR30","600R, 0.27A","BottomLayer","RES0201","3214.527","1172.491","180",""
"MN55","0.8pF","TopLayer","CAP0402","3310.792","1383.380","270",""
"C101","1uF, 20%","BottomLayer","CAP0201","3218.504","1260.919","270",""
"C102","1uF, 20%","BottomLayer","CAP0201","3253.977","1327.508","0",""
"FR23","600R, 0.27A","BottomLayer","RES0201","3304.174","1346.209","90",""
"FR34","600R, 0.27A","BottomLayer","RES0201","3255.803","1271.942","0",""
"FR35","600R, 0.27A","BottomLayer","RES0201","3252.993","1301.918","0",""
"C89","1uF, 20%","BottomLayer","CAP0201","3237.245","1372.784","0",""
"C90","1uF, 20%","BottomLayer","CAP0201","3274.606","1369.094","90",""
"C93","1uF, 20%","BottomLayer","CAP0201","3168.741","1395.028","90",""
"C100","1uF, 20%","BottomLayer","CAP0201","3120.119","1281.249","180",""
"FR27","600R, 0.27A","BottomLayer","RES0201","3226.221","1410.630","270",""
"FR28","600R, 0.27A","BottomLayer","RES0201","3196.497","1395.028","270",""
"FR33","600R, 0.27A","BottomLayer","RES0201","3151.615","1353.296","90",""
"C86","1uF, 20%","BottomLayer","CAP0201","2976.418","1512.548","180",""
"C91","1uF, 20%","BottomLayer","CAP0201","2992.953","1543.307","180",""
"FR5","600R, 0.27A","BottomLayer","RES0201","2908.268","1682.086","0",""
"FR19","600R, 0.27A","BottomLayer","RES0201","3022.678","1448.572","90",""
"FR22","600R, 0.27A","BottomLayer","RES0201","2965.788","1429.083","90",""
"FR24","600R, 0.27A","BottomLayer","RES0201","2992.637","1574.084","180",""
"R38","0R","BottomLayer","RES0201","2975.197","1481.299","0",""
"C69","1uF, 20%","BottomLayer","CAP0201","2995.079","1314.764","270",""
"C82","1uF, 20%","BottomLayer","CAP0201","2918.347","1437.745","90",""
"C85","1uF, 20%","BottomLayer","CAP0201","3008.898","1361.761","270",""
"C88","1uF, 20%","BottomLayer","CAP0201","2955.512","1393.701","180",""
"C92","1uF, 20%","BottomLayer","CAP0201","2931.599","1328.493","0",""
"FR15","600R, 0.27A","BottomLayer","RES0201","2897.678","1492.076","90",""
"C48","1uF, 20%","BottomLayer","CAP0201","2869.095","1264.516","270",""
"C49","1nF, 10%","BottomLayer","CAP0201","2898.662","1264.516","270",""
"C52","1uF, 20%","BottomLayer","CAP0201","2910.473","1184.792","0",""
"C58","1uF, 20%","BottomLayer","CAP0201","2869.095","1221.587","270",""
"C59","1nF, 10%","BottomLayer","CAP0201","2898.662","1221.209","270",""
"R30","0R","BottomLayer","RES0402","2872.087","1162.154","90",""
"C95","1uF, 20%","BottomLayer","CAP0201","2845.512","1445.619","90",""
"C96","1uF, 20%","BottomLayer","CAP0201","2826.615","1482.036","180",""
"C98","1uF, 20%","BottomLayer","CAP0201","2815.945","1427.362","90",""
"FR29","600R, 0.27A","BottomLayer","RES0201","2876.024","1445.619","90",""
"FR31","600R, 0.27A","BottomLayer","RES0201","2867.166","1402.312","90",""
"R40","10R","BottomLayer","RES0201","2862.245","1493.060","270",""
"C97","1uF, 20%","BottomLayer","CAP0201","2825.631","1391.288","180",""
"C99","1uF, 20%","BottomLayer","CAP0201","2760.748","1413.465","315",""
"FR26","600R, 0.27A","BottomLayer","RES0201","2881.930","1356.052","135",""
"FR32","600R, 0.27A","BottomLayer","RES0201","2746.063","1455.906","90",""
"R41","10R","BottomLayer","RES0201","2785.473","1456.446","270",""
"C44","1uF, 20%","BottomLayer","CAP0201","2795.276","1322.390","270",""
"C45","1nF, 10%","BottomLayer","CAP0201","2761.811","1322.390","270",""
"C56","1uF, 20%","BottomLayer","CAP0201","2759.686","1244.044","90",""
"C57","1nF, 10%","BottomLayer","CAP0201","2790.394","1233.020","90",""
"R23","0R","BottomLayer","RES0402","2725.394","1251.968","270",""
"R29","0R","BottomLayer","RES0402","2710.669","1333.414","0",""
"C46","1uF, 20%","BottomLayer","CAP0201","2696.497","1180.068","180",""
"C47","1nF, 10%","BottomLayer","CAP0201","2750.040","1150.343","180",""
"C53","1nF, 10%","BottomLayer","CAP0201","2828.780","1226.131","135",""
"R25","0R","BottomLayer","RES0402","2687.048","1148.374","0",""
"C50","1uF, 20%","BottomLayer","CAP0201","2758.858","1114.961","270",""
"C51","1nF, 10%","BottomLayer","CAP0201","2787.442","1114.618","270",""
"C54","1uF, 20%","BottomLayer","CAP0201","2780.315","1060.580","180",""
"C65","1uF, 20%","BottomLayer","CAP0201","2878.977","1053.887","180",""
"FR4","600R, 0.27A","BottomLayer","RES0201","2878.977","1084.399","0",""
"R35","0R","BottomLayer","RES0201","2939.016","1092.469","270",""
"C351","100pF, 50V","TopLayer","CAP0402","590.551","2255.905","270",""
"IC21","NC7SV74K8XCT","BottomLayer","NC7SV74K8XCT","218.504","2038.386","180",""
"IC23","ADF4002","BottomLayer","ADF4002","590.551","2070.866","180",""
"R141","0R","BottomLayer","RES0402","102.362","2046.260","0",""
"R143","0R","BottomLayer","RES0402","317.913","2048.229","270",""
"R144","0R","BottomLayer","RES0402","122.047","1985.236","90",""
"R145","0R","BottomLayer","RES0402","185.039","1965.551","0",""
"C352","100nF, 16V","BottomLayer","CAP0402","563.976","2231.299","180",""
"R153","10R, 5%","BottomLayer","RES0402","566.929","2182.087","180",""
"R161","10k, 1%","BottomLayer","RES0402","569.882","2272.638","180",""
"XO1","30.72 MHz","BottomLayer","RAKON_RPT7050A","669.291","1644.685","90",""
"XO2","TCXO 30.72MHz","BottomLayer","RAKON_TXCO","669.291","1638.780","90",""
"C327","100nF, 16V","BottomLayer","CAP0402","576.772","1887.795","180",""
"R138","0R","BottomLayer","RES0402","576.772","1846.457","180",""
"R146","0R","BottomLayer","RES0402","367.126","1874.016","270",""
"R159","49.9R, 1%","BottomLayer","RES0402","489.173","1945.866","0",""
"R163","49.9R, 1%","BottomLayer","RES0402","443.897","2014.764","0",""
"C322","100nF, 16V","BottomLayer","CAP0402","1187.008","2098.918","0",""
"C321","100nF, 16V","BottomLayer","CAP0402","1104.331","2098.918","0",""
"C328","100nF, 16V","BottomLayer","CAP0402","102.362","2082.677","0",""
"C350","100pF, 50V","BottomLayer","CAP0402","335.630","2263.779","180",""
"C241","4.7uF, 6.3V","BottomLayer","CAP0402","1354.330","2239.173","0",""
"R140","49.9R, 1%","BottomLayer","RES0402","1124.016","2037.895","90",""
"R154","1k, 1%","BottomLayer","RES0402","424.212","1928.150","270",""
"C332","100pF, 50V","BottomLayer","CAP0402","915.355","2232.283","270",""
"C329","1uF, 10V","BottomLayer","CAP0402","954.724","2251.968","270",""
"C331","100pF, 50V","BottomLayer","CAP0402","1041.339","2204.724","180",""
"C347","100pF, 50V","BottomLayer","CAP0402","483.267","2241.142","90",""
"C348","100pF, 50V","BottomLayer","CAP0402","443.897","2241.142","90",""
"C354","1nF, 10%","BottomLayer","CAP0402","508.858","1887.795","90",""
"C355","22pF, 5%","BottomLayer","CAP0402","735.236","2266.732","180",""
"C361","10pF, 25V","BottomLayer","CAP0402","378.937","2034.449","270",""
"R137","0R","BottomLayer","RES0402","410.433","1562.008","270",""
"R147","0R","BottomLayer","RES0402","430.118","1854.332","0",""
"R156","470R, 0.5%","BottomLayer","RES0402","653.543","2265.748","0",""
"R162","330R, 5%","BottomLayer","RES0402","734.252","2228.347","180",""
"R164","49.9R, 1%","BottomLayer","RES0402","443.897","2058.071","0",""
"R165","49.9R, 1%","BottomLayer","RES0402","443.897","2101.378","0",""
"C323","100nF, 16V","BottomLayer","CAP0402","1104.331","2138.288","180",""
"C324","47pF","BottomLayer","CAP0402","988.189","1880.905","180",""
"C325","47pF","BottomLayer","CAP0402","905.512","1880.905","0",""
"C339","100pF, 50V","BottomLayer","CAP0402","1005.905","1941.929","90",""
"C340","100pF, 50V","BottomLayer","CAP0402","884.843","1941.438","90",""
"C353","1nF, 10%","BottomLayer","CAP0402","569.882","1945.866","0",""
"C356","22pF, 5%","BottomLayer","CAP0402","653.543","2227.362","180",""
"C357","22pF, 5%","BottomLayer","CAP0402","653.543","2187.992","180",""
"R136","0R","BottomLayer","RES0402","1109.252","1975.394","0",""
"R139","0R","BottomLayer","RES0402","968.504","1941.438","90",""
"R142","0R","BottomLayer","RES0402","925.197","1941.438","90",""
"C343","100pF, 50V","BottomLayer","CAP0402","713.582","1984.252","270",""
"C344","100pF, 50V","BottomLayer","CAP0402","774.606","2003.937","0",""
"C345","100nF, 16V","BottomLayer","CAP0402","735.236","1883.858","180",""
"C346","100nF, 16V","BottomLayer","CAP0402","735.236","1923.228","180",""
"C358","220pF, 10%","BottomLayer","CAP0402","748.031","2045.276","0",""
"FR50","600R, 2A","BottomLayer","RES0805","1077.756","2252.953","180",""
"R152","49.9R, 1%","BottomLayer","RES0402","774.606","1962.599","180",""
"LED1","LED_RG_SMD","TopLayer","LED-2X0603","43.307","1864.173","270",""
"LED7","LED_RG_SMD","TopLayer","LED-2X0603","108.268","1864.173","270",""
"LED2","LED_RG_SMD","TopLayer","LED-2X0603","43.307","1684.055","270",""
"LED8","LED_RG_SMD","TopLayer","LED-2X0603","109.252","1684.055","270",""
"F1","Fiducial","TopLayer","Fiducial","-253.445","-253.445","0",""
"F2","Fiducial","TopLayer","Fiducial","-253.445","2615.649","0",""
"F3","Fiducial","TopLayer","Fiducial","4190.453","-253.445","0",""
"F4","Fiducial","TopLayer","Fiducial","4190.453","2615.649","0",""
"FR48","600R, 2A","BottomLayer","RES0805","210.000","880.000","270",""
"J14","FAN","TopLayer","HDR_1X2_HALF_PITCH","2387.205","2249.016","90",""
"JMP1","1 pcs.","TopLayer","MECH_JUMPER_HALF_PITCH","-3937.008","-3937.008","180","Shorting Jumper, 2-position, 1.27mm pitch"
"C9","100pF, 50V","TopLayer","CAP0402","3590.551","297.244","90",""
"C10","100pF, 50V","TopLayer","CAP0402","3604.331","437.008","90",""
"C11","47pF","BottomLayer","CAP0402","3658.465","343.504","135",""
"C13","100pF, 50V","TopLayer","CAP0402","3679.274","390.888","45",""
"C16","100pF, 50V","TopLayer","CAP0402","2712.738","2008.014","225",""
"C20","100pF, 50V","TopLayer","CAP0402","2635.180","2021.991","270",""
"C21","47pF","BottomLayer","CAP0402","2625.000","1985.236","270",""
"C22","47pF","BottomLayer","CAP0402","2685.039","1985.236","270",""
"C29","100pF, 50V","TopLayer","CAP0402","2584.646","344.488","90",""
"C30","100pF, 50V","TopLayer","CAP0402","2598.425","485.236","90",""
"C31","47pF","BottomLayer","CAP0402","2642.716","405.512","180",""
"C32","47pF","BottomLayer","CAP0402","2529.528","432.087","0",""
"C33","100pF, 50V","TopLayer","CAP0402","2670.276","398.622","0",""
"C36","100pF, 50V","TopLayer","CAP0402","3467.520","2037.402","270",""
"C39","100pF, 50V","TopLayer","CAP0402","3413.386","1928.149","270",""
"C40","100pF, 50V","TopLayer","CAP0402","3399.606","2067.913","270",""
"C41","47pF","BottomLayer","CAP0402","3339.567","1986.220","0",""
"C42","47pF","BottomLayer","CAP0402","3339.567","2025.591","0",""
"IC4","SKY13323","TopLayer","SKY13323-378LF","3604.331","367.126","90","SKY13323-378LF: 0.1-3.0 GHz GaAs SPDT Switch"
"IC5","SKY13323","TopLayer","SKY13323-378LF","2648.960","1952.109","270","SKY13323-378LF: 0.1-3.0 GHz GaAs SPDT Switch"
"IC6","SKY13323","TopLayer","SKY13323-378LF","2598.425","415.354","90","SKY13323-378LF: 0.1-3.0 GHz GaAs SPDT Switch"
"IC7","SKY13323","TopLayer","SKY13323-378LF","3413.386","1998.031","270","SKY13323-378LF: 0.1-3.0 GHz GaAs SPDT Switch"
"R14","100R, 1%","BottomLayer","RES0402","2552.166","2070.866","180",""
"R15","1k, 1%","BottomLayer","RES0402","2930.899","2173.720","90",""
"R16","100R, 1%","BottomLayer","RES0402","3123.032","2214.567","90",""
"R17","100R, 1%","BottomLayer","RES0402","2491.142","2254.921","90",""
"R18","100R, 1%","BottomLayer","RES0402","3481.299","2092.520","180",""
"R19","1k, 1%","BottomLayer","RES0402","3778.543","2000.984","0",""
"R21","100R, 1%","BottomLayer","RES0402","3817.421","1839.363","180",""
"R20","100R, 1%","BottomLayer","RES0402","3323.819","2223.425","90",""
"RA1","560R, 1%","BottomLayer","RES0402","2709.646","2179.134","270",""
"RA2","2.49k, 1%","BottomLayer","RES0402","2772.638","2198.819","180",""
"RA3","49.9R, 1%","BottomLayer","RES0402","2887.591","2173.720","270",""
"RA4","49.9R, 1%","BottomLayer","RES0402","2666.339","2218.504","270",""
"RA5","560R, 1%","BottomLayer","RES0402","3531.496","2187.008","270",""
"RA6","2.49k, 1%","BottomLayer","RES0402","3594.488","2206.693","180",""
"RA7","49.9R, 1%","BottomLayer","RES0402","3778.543","2044.292","180",""
"RA8","49.9R, 1%","BottomLayer","RES0402","3488.189","2226.378","270",""
"VT1","RF MOSFET","BottomLayer","BF1105R_SOT143R4","2805.118","2115.157","0",""
"VT2","RF MOSFET","BottomLayer","BF1105R_SOT143R4","2585.138","2237.697","180",""
"VT3","RF MOSFET","BottomLayer","BF1105R_SOT143R4","3010.131","2191.929","90",""
"VT4","RF MOSFET","BottomLayer","BF1105R_SOT143R4","3626.969","2123.031","0",""
"VT5","RF MOSFET","BottomLayer","BF1105R_SOT143R4","3406.988","2216.043","180",""
"VT6","RF MOSFET","BottomLayer","BF1105R_SOT143R4","3795.768","1921.752","0",""
"C17","100pF, 50V","BottomLayer","CAP0402","3142.716","2275.591","0",""
"C15","100pF, 50V","BottomLayer","CAP0402","2491.142","2090.551","90",""
"C18","100pF, 50V","BottomLayer","CAP0402","2491.142","2173.228","270",""
"C38","100pF, 50V","BottomLayer","CAP0402","3817.132","1797.656","0",""
"C35","100pF, 50V","BottomLayer","CAP0402","3420.276","2112.205","90",""
"C37","100pF, 50V","BottomLayer","CAP0402","3260.827","2203.740","180",""
"C415","10uF, 6.3V","BottomLayer","CAP0603","2170.276","233.268","0",""
"C179","100nF, 16V","BottomLayer","CAP0402","2026.574","1301.181","270",""
"R49","10k, 1%","TopLayer","RES0402","1255.906","753.937","270",""
"R48","10k, 1%","BottomLayer","RES0402","382.874","336.614","270",""
"R50","10k, 1%","BottomLayer","RES0402","316.929","289.370","0",""
"FR52","600R, 2A","TopLayer","RES0805","960.630","1988.189","270",""
